"server.name","server.id","ping.latency","ping.jitter","packetLoss","download.bytes","download.bandwidth","upload.bytes","upload.bandwidth","result.url"
"31173 Services AB - Amsterdam","23094","7.4331","2.773","1.1236","113027810","5429056","592607120","55029132","https://www.speedtest.net/result/c/5d59759a-1972-4094-a535-295c1ed5a380","1","22.5031","15.9836","5.818","289.137","5.4905","5.82821","4.066","220.753","5.203","11.465"
"T-Mobile Netherlands B.V. - Amsterdam","52365","5.3272","0.75625","0","117687497","5647886","893629689","58036147","https://www.speedtest.net/result/c/616f0521-8222-4cc3-a558-2f87c7cc099e","1","14.1272","3.01511","5.081","36.896","5.33773","8.03145","4.058","231.846","4.755","5.952"
"KamaTera, Inc. - Amsterdam","11611","6.7036","5.8935","6.42202","118119198","5689411","1448700633","20610504","https://www.speedtest.net/result/c/37c67f57-4bc2-4378-84a3-4bf167029d28","1","21.2735","20.4333","5.167","582.048","5.52476","0.70715","3.987","8.395","5.762","17.5"
"31173 Services AB - Amsterdam","23094","6.3446","0.97575","0","117114516","5749591","1049416462","79404677","https://www.speedtest.net/result/c/bfffccae-181f-41cf-87cd-83684d2ef1fd","1","16.1966","3.76474","6.61","30.164","5.52022","4.2893","3.591","222.598","5.223","7.374"
"31173 Services AB - Amsterdam","23094","6.0079","1.2565","0","117157048","5655529","1004187760","80116576","https://www.speedtest.net/result/c/b7435680-be8a-478d-a76f-b1a4eec60a1d","1","19.0317","3.24163","5.601","42.667","5.76429","6.16295","4.061","221.209","5.606","7.604"
"Korton Group BV - Nieuw-Vennep","5124","7.1418","2.13175","0.393701","77278274","5992951","1104569940","57952353","https://www.speedtest.net/result/c/77995116-0a1d-4687-9595-49ef90754abe","1","10.9916","4.89347","5.253","232.37","5.76125","0.778885","4.605","14.355","4.237","9.853"
